Title,ParentID,CollaborationPeriod,Entity,DescriptionENG,DescriptionSPA,DirectResultsENG,DirectResultsSPA
NSA-2025-66-A_1,66,,PAHO/OPS & NSA/ANE,"CLSI continues to collaborate to strengthen the capacities of national laboratories in the PAHO region to monitor and mitigate the spread of antimicrobial resistance in bacterial pathogens. This includes training, regional working group meetings, and the enhancement of surveillance infrastructure available to the PAHO region. CLSI also continues to provide access to standards documents and supplements, free of charge, that are critical to the mitigation of antimicrobial resistance in the region.","CLSI continúa colaborando para fortalecer las capacidades de los laboratorios nacionales en la región de la OPS para monitorear y mitigar la propagación de la resistencia a los antimicrobianos en patógenos bacterianos. Esto incluye capacitación, reuniones de grupos de trabajo regionales y el fortalecimiento de la infraestructura de vigilancia disponible para la región de la OPS. 
CLSI sigue proporcionando acceso a documentos de normas y suplementos, de forma gratuita, que son críticos para la mitigación de la resistencia a los antimicrobianos en la región.","PAHO representatives actively participated in the activities and meetings of the Expert Panel on Microbiology, as well as in the activities of the Subcommittee on Antimicrobial Susceptibility Testing related to revisions for the 35th edition of CLSI M100. In January 2024, CLSI introduced a country-based pricing program for countries that meet the economic criteria set forth by the World Bank. CLSI continued its collaboration with the Latin American and Caribbean Network for Antimicrobial Resistance Surveillance (ReLAVRA+) to adapt and implement Table 1 of CLSI M100 for region-specific clinical guidance on antibiotic and antifungal therapeutics.","Los representantes de la OPS participaron activamente en las actividades y reuniones del Panel de Expertos en Microbiología, así como en las actividades del Subcomité sobre Pruebas de Susceptibilidad a Antimicrobianos relacionadas con las revisiones de la 35ª edición de CLSI M100. En enero de 2024, CLSI introdujo la implementación de un programa de precios basado en países para aquellos que cumplan con los criterios económicos establecidos por el Banco Mundial. CLSI continuó su colaboración con la Red Latinoamericana y del Caribe para la Vigilancia de la Resistencia Antimicrobiana (ReLAVRA+) para adaptar e implementar la Tabla 1 de CLSI M100 como guía clínica específica de la región sobre terapias antibióticas y antifúngicas."
NSA-2025-65-A_1,65,,PAHO/OPS & NSA/ANE,"BHI supported PAHO in expanding cervical cancer screening efforts in Antigua and Barbuda (AB): BHI assisted in reviewing data to plan and implement the scaling up of the program until full implementation as part of the Ministry of Health's (MOH) healthcare services. BHI directly supported and collaborated with the Ministry of Health (MOH) of AB, various members of the appointed Cervical Cancer Task Force, and other key medical personnel.","BHI apoyó a la OPS en la ampliación de los esfuerzos de detección del cáncer de cuello uterino en Antigua y Barbuda (AB):  
BHI asistió en la revisión de datos para planificar y llevar a cabo la ampliación del programa hasta su plena implementación como parte de los servicios de salud del Ministerio de Salud (MOH). BHI apoyó y colaboró directamente con el Ministerio de Salud (MOH) de AB, varios miembros del Grupo de Trabajo sobre Cáncer de Cuello Uterino designado y otros profesionales médicos clave.","The full implementation of a national cervical cancer prevention program in AB.
• Provision of customized training delivered to medical staff and Ministry of Health (MOH) employees.
• Planning and execution of a pilot HPV screening/treatment program with over 1,500 women.
• Based on learnings from the pilot, the program was scaled up to include an additional 3,000 women.
• Debriefed the MOH about key performance indicators (KPIs) and key observations to optimize the full implementation.","La implementación completa de un programa nacional de prevención del cáncer de cuello uterino en AB.
• Provisión de una capacitación personalizada dirigida al personal médico y empleados del Ministerio de Salud (MOH).
• Planificación y ejecución de un programa piloto de detección/tratamiento de VPH con más de 1,500 mujeres.
• Basado en los aprendizajes del piloto, ampliación del programa para incluir a otras 3,000 mujeres.
• Informe al MOH sobre los KPIs y observaciones clave para optimizar la implementación completa."
NSA-2025-65-A_2,65,,PAHO/OPS & NSA/ANE,"BHI supported PAHO in the planning and implementation of a national cervical cancer prevention program in St. Vincent. BHI directly assisted and collaborated with the Ministry of Health (MOH) of AB, various members of the appointed Cervical Cancer Task Force, and other key medical personnel.","BHI apoyó a la OPS en la planificación y ejecución de un programa nacional de prevención del cáncer de cuello uterino en San Vicente. BHI apoyó directamente y colaboró con el Ministerio de Salud (MS) de AB, varios miembros del Grupo de Trabajo sobre Cáncer de Cuello Uterino designado y otros profesionales médicos clave.","The implementation of a cervical cancer screening program in St. Vincent until it is fully integrated into the country's healthcare services.
• BHI conducted a needs assessment on-site.
• BHI developed a database for the Ministry of Health to use during the pilot and scaling phases, ensuring that quality data is available for analysis and decision-making for the national rollout.
• Planned and executed a customized training program covering anatomy, HPV-specific screening/training, and orientation on the use of clinical equipment.","La implementación de un programa de detección de cáncer cervical en San Vicente hasta que esté completamente incorporado como parte de los servicios de salud del país.
• BHI realizó una evaluación de necesidades en el terreno.
• BHI creó la base de datos que será utilizada por el Ministerio de Salud para la fase piloto y de expansión, de modo que se disponga de datos de calidad para el análisis y la toma de decisiones para el despliegue nacional.
• Se planificó y llevó a cabo un programa de capacitación a medida que abarca anatomía, detección/capacitación específica de VPH y orientación sobre el uso de equipos clínicos."
NSA-2025-65-A_3,65,,PAHO/OPS & NSA/ANE,Participated in numerous PAHO regional engagements and workshops and provided training or knowledge sharing as requested.,Participó en numerosos compromisos y talleres regionales de la OPS y proporcionó capacitación o intercambio de conocimientos según se solicitara.,"The training, workshops, and talks provided by BHI ensure that relevant technical expertise related to cervical cancer prevention is shared with local healthcare professionals, government officials, and other relevant stakeholders.","La formación, los talleres y las charlas proporcionados por BHI aseguran que la experiencia técnica relevante relacionada con la prevención del cáncer de cuello uterino se comparta con los profesionales de la salud locales, funcionarios del gobierno y otros interesados relevantes."
NSA-2025-62-A_1,62,,PAHO/OPS,"Support country implementation teams on social marketing campaigns by providing tutors, developing case studies, and offering funding; continue evaluation and monitoring efforts; and share best practices.","Apoyar a los equipos de implementación en los países en campañas de marketing social a través de la provisión de tutores, el desarrollo de estudios de caso y financiamiento; continuar con los esfuerzos de evaluación y monitoreo; y difundir las mejores prácticas.","AHA continued its support for the virtual learning Program on Social Marketing for Public Health, launched in July 2022, by promoting modules on the PAHO Virtual Campus of Public Health across its networks.

More than 22,000 participants have engaged in the self-learning modality. In the tutor-led modality, technical assistance and tutors supported national teams with formative field research and the implementation of social marketing components, resulting in fifteen projects prepared by country teams.

A best practices webinar titled “Program on Social Marketing for Public Health: Best Practices” was held in August 2023, featuring several country teams. Aruba, Costa Rica, Panama, Puerto Rico, and Sint Maarten received support for sodium reduction campaigns. These experiences have been compiled into a guide for applying Social Marketing to the development of health interventions, which will be launched in the first quarter of 2026.","AHA continuó su apoyo al Programa de Aprendizaje Virtual sobre Marketing Social para la Salud Pública, lanzado en julio de 2022, promoviendo módulos en el Campus Virtual de Salud Pública de la OPS a través de sus redes.

Más de 22,000 participantes han participado en la modalidad de autoaprendizaje. En la modalidad tutorada, la asistencia técnica y los tutores apoyaron a los equipos nacionales con investigaciones de campo formativas y la implementación de componentes de marketing social, lo que resultó en quince proyectos preparados por los equipos de los países.

Se llevó a cabo un seminario web sobre mejores prácticas titulado “Programa de Marketing Social para la Salud Pública: Mejores Prácticas” en agosto de 2023, que contó con la participación de varios equipos de países. Aruba, Costa Rica, Panamá, Puerto Rico y Sint Maarten recibieron apoyo para campañas de reducción de sodio. Estas experiencias se han recopilado en una guía para aplicar el Marketing Social al desarrollo de intervenciones en salud, que se lanzará en el primer trimestre de 2026."
NSA-2025-62-A_2,62,,NSA/ANE,Collaborate to raise awareness about pregnancy risk factors related to non-communicable diseases (NCDs) and create supporting materials for educational initiatives.,Colaborar para aumentar la concienciación sobre los factores de riesgo de embarazo asociados con las enfermedades no transmisibles y desarrollar materiales colaterales para apoyar los esfuerzos educativos.,"The AHA has actively participated in its global coalitions to promote women's heart health and maternal health, primarily through the integration of the PAHO Zero Maternal Deaths initiative with the AHA-InterAmerican Society of Cardiology (IASC) joint maternal campaign, #CorazondeMama.

Ongoing advocacy and educational efforts were carried out with IASC and the Inter-American Heart Foundation (IAHF), including constituency statements at the WHO and PAHO regional meetings on pandemic preparedness, universal health coverage, and heart conditions in adolescents and children, such as congenital heart disease and rheumatic heart disease.","AHA ha participado activamente en sus coaliciones globales para elevar la salud cardíaca de las mujeres y la salud materna, principalmente a través de la integración de la iniciativa de la OPS Cero Muertes Maternas con la campaña conjunta de AHA y la Sociedad Interamericana de Cardiología (IASC), #CorazondeMama.

Se llevaron a cabo trabajos de defensa y educativos continuos con la IASC y la Fundación Interamericana del Corazón (IAHF), incluyendo declaraciones de los grupos de interés en las reuniones regionales de la OMS y la OPS sobre preparación para pandemias, cobertura de salud universal y condiciones cardíacas en adolescentes y niños, como las cardiopatías congénitas y la enfermedad cardíaca reumática."
NSA-2025-62-A_3,62,,PAHO/OPS,"Build capacity around non-communicable disease (NCD) risk factors to create health-promoting environments within the school setting, with the involvement of Ministries of Health and Ministries of Education.","Desarrollar capacidades en torno a los factores de riesgo de las enfermedades no transmisibles para crear entornos que promuevan la salud dentro del ámbito escolar, con la participación de los Ministerios de Salud y los Ministerios de Educación.","AHA has also supported the implementation of the PAHO/OAS Hemispheric Program on Healthy Eating Policies and Physical Activity in School Environments: “A first line of action on fighting noncommunicable diseases in the Americas.” Following a call for project proposals to create school environments conducive to healthy eating, nutrition, and physical activity, projects from the ministries of education and health of the Bahamas, Belize, and Colombia were selected to receive intensified technical assistance.

The documentation of the experience and lessons learned is being integrated into a regional guidance document to be presented to the ministers of education of the Region.","AHA también ha apoyado la implementación del Programa Hemisférico de la OPS/OEA sobre Políticas de Alimentación Saludable y Actividad Física en Entornos Escolares: “Una primera línea de acción en la lucha contra las enfermedades no transmisibles en las Américas”. Tras una convocatoria para propuestas de proyectos para crear entornos escolares propicios para la alimentación saludable, la nutrición y la actividad física, se seleccionaron proyectos de los ministerios de educación y salud de las Bahamas, Belice y Colombia para recibir asistencia técnica intensificada.

La documentación de la experiencia y las lecciones aprendidas se está integrando en un documento de orientación regional que será presentado a los ministros de educación de la Región."
NSA-2025-60-A_1,60,,PAHO/OPS & NSA/ANE,"The Pan American Program for High Management and Leadership in Medical Education (PAG-FEPAFEM) has been created, aiming to train leaders from the Americas in leadership, management, and administration. The Pan American Platform for Teacher-Student Mobility is being prepared to strengthen the exchange of experiences in medicine and public health. A working group has been formed to address Diversity, Inclusion, and Equity in Higher Education (OPS Policies 3 and 4 RHUS 2030).","Se ha creado el Programa Panamericano de Alta Gerencia y Liderazgo en Educación Médica (PAG-FEPAFEM), que busca formar a líderes de las Américas en liderazgo, gestión y administración. Se está preparando la Plataforma Panamericana de Movilidad Docente-Estudiantil, con el fin de fortalecer el intercambio de experiencias en medicina y salud pública. Se ha formado un grupo de trabajo para abordar la Diversidad, Inclusión y Equidad en la Educación Superior (Políticas OPS 3 y 4 RHUS 2030).","- 45 leaders trained in the PAG-FEPAFEM
- Survey on Diversity, Inclusion, and Equity in Higher Education, raising awareness and recognizing the importance of inclusion in medical education, promoting the implementation of actions to include diversities in medical education in staged processes that align with the nature and development-advancements of the institutions.
- 07 webinars developed by the member associations of FEPAFEM
- Monthly electronic newsletter since 2023.
- Website and social media allowing the dissemination of activities related to medical education.
- Participation in international events sharing best practices in medical education worldwide, as well as promoting ""One Health.""
- 268 leaders from the Americas participating in the Pan American Conference on Medical Education – COPAEM 2025, with an agenda linked to medical education, quality in training, and social responsibility.","- 45 líderes capacitados en el PAG-FEPAFEM  
- Encuesta sobre Diversidad, Inclusión y Equidad en la Educación Superior, permitiendo sensibilizar y reconocer la importancia de la inclusión en la educación médica, promoviendo la implementación de acciones para incluir las diversidades en la educación médica en procesos escalonados y acordes a la naturaleza y desarrollo-avances de las instituciones.  
- 07 Webinars desarrollados por las Asociaciones miembros de FEPAFEM  
- Boletín Electrónico mensual desde el año 2023.  
- Página Web y redes sociales permitiendo la difusión de las actividades vinculadas a la educación médica.  
- Participación en eventos internacionales difundiendo las mejores experiencias en educación médica a nivel mundial, así como promoviendo “Una Sola Salud” (One Health).  
- 268 líderes de las Américas participantes en la Conferencia Panamericana de Educación Médica – COPAEM 2025, con una agenda vinculada a la educación médica, la calidad en la formación y la responsabilidad social.  "
NSA-2025-53-A_1,53,,NSA/ANE,Conduct didactic and hands-on training on medical oncology for clinical staff at emerging and/or established public oncology programs in selected countries in Latin America and the Caribbean. Design clinical operations and patient navigation systems that enable real-time tracking of patients throughout their cancer journeys.,Realizar capacitaciones didácticas y prácticas sobre oncología médica para el personal clínico en programas de oncología públicos emergentes y/o establecidos en países seleccionados de América Latina y el Caribe. Diseñar operaciones clínicas y sistemas de navegación de pacientes que permitan el seguimiento en tiempo real de los pacientes a lo largo de sus trayectorias en el cáncer.,Staff demonstrate a noticeable increase in knowledge in selected areas of medical oncology.,El personal muestra un aumento demostrable en el conocimiento en áreas temáticas seleccionadas de oncología médica.
NSA-2025-53-A_2,53,,NSA/ANE,"Conduct workshops on the principles of cancer patient navigation, using a detailed case study of a new patient navigation program developed by GO in Belize.","Realizar talleres sobre los principios de la navegación de pacientes con cáncer, basándose en un estudio de caso detallado de un nuevo programa de navegación de pacientes desarrollado por GO en Belice.",Six permanent staff members and rotating nurses have begun training in nurse navigation using the GO-DOC framework. The training includes monthly virtual mentorship and in-person sessions held semi-annually to quarterly. Official program data (2023–2025) has been collected and is scheduled for publication as a report.,Seis empleados permanentes y enfermeras rotativas han iniciado capacitación en navegación de enfermería utilizando el marco GO‑DOC. La capacitación incluye mentoría virtual mensual y sesiones presenciales semestrales a trimestrales. Se han recopilado datos oficiales del programa (2023–2025) y se planea su publicación como un informe.
